N ,L1,,Sicherung,mm^2,L2,,Sicherung,mm^2,L3,,Sicherung,mm^2
8,Herdanschluss 014 Res,#VALUE!,16AB,"2,5",Teekueche 014,#VALUE!,16AB,"2,5",Geschirspueller,#VALUE!,16AB,"2,5"
8,Drucker 2,#VALUE!,16AB,"2,5",CEE,-3,63A/16A,4,CEE,-3,63A/16A,4
8,CEE,-3,63A/16A,4,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
9,Büro 014,0,10 AB ,"1,5",Büro 014,#VALUE!,10 AB ,"1,5",Büro 014,#VALUE!,10 AB ,"1,5"
9,Taster ,0,10 AB ,"1,5",Taster ,#VALUE!,10 AB ,"1,5",Taster ,#VALUE!,10 AB ,"1,5"
9,"Büro 015, 016",#VALUE!,10 AB ,"1,5",Büro 017,#VALUE!,10 AB ,"1,5","Büro 001,002,003",#VALUE!,10 AB ,"1,5"
9,Büro 005,#VALUE!,10 AB ,"1,5",Büro 019 ,#VALUE!,10 AB ,"1,5",Flur 020 ,#VALUE!,10 AB ,"1,5"
9,Taster ,#VALUE!,10 AB ,"1,5",Flur 007 Treppe ,#VALUE!,10 AB ,"1,5",Taster ,#VALUE!,10 AB ,"1,5"
9,Büro 005,#VALUE!,10 AB ,"1,5",Taster ,#VALUE!,10 AB ,"1,5",EDV-VT 012 ,#VALUE!,10 AB ,"1,5"
